postal code,latitude,longitude
763-710,36.529476583,129.046726312
763-711,36.5457899206,129.049550531
611-088,35.1870937937,129.101024281
611-089,35.1886480453,129.104928237
590-941,35.3703572094,127.313155117
590-940,35.3788003127,127.321578119
611-080,35.1825602537,129.085536368
611-081,35.1889307314,129.091530264
611-082,35.1799640303,129.079301534
611-083,35.173358537,129.094256895
611-084,35.1862868448,129.084942274
611-085,35.1844747869,129.076070812
611-086,35.1788670459,129.085657116
429-300,37.3722195349,126.862287641
445-310,37.2250582987,126.983346224
627-861,35.5759019914,128.665737762
627-860,35.5488748082,128.624466796
627-863,35.5405734596,128.638293384
627-862,35.5666231517,128.609789662
136-785,37.6104740264,127.019385015
136-784,37.6069133346,127.045527017
136-787,37.6001952817,127.035856663
136-786,37.6015149938,127.016696564
136-781,37.6001952817,127.035856663
136-780,37.6001952817,127.035856663
136-783,37.6067279511,127.027288963
136-782,37.6135856347,127.006831928
136-789,37.6056691065,127.047709707
136-788,37.6001952817,127.035856663
612-825,35.1712543395,129.139971805
612-824,35.162836508,129.157910122
612-827,35.1712543395,129.139971805
612-826,35.1712543395,129.139971805
612-821,35.162836508,129.157910122
612-820,35.162836508,129.157910122
612-823,35.1712543395,129.139971805
612-822,35.162836508,129.157910122
612-829,35.1896400466,129.125309916
612-828,35.18462453,129.125192443
680-140,35.4813935556,129.347447553
235-120,37.1278726309,129.001635161
325-906,36.0058637755,126.719813602
527-803,34.642741798,126.774240104
590-942,35.3921071308,127.346458381
135-768,37.4953666908,127.033065362
135-769,37.4953666908,127.033065362
404-748,37.605720756,126.667015296
320-823,36.1633181839,127.120061213
320-822,36.1479904086,127.09609429
404-741,37.5860921242,126.70147613
320-820,36.1672308694,127.107143302
404-747,37.605720756,126.667015296
404-746,37.605720756,126.667015296
404-745,37.605720756,126.667015296
135-767,37.525123007,127.049310028
361-853,36.6088125181,127.489312686
361-852,36.6088125181,127.489312686
361-851,36.6098492814,127.441671684
361-850,36.6098492814,127.441671684
361-857,36.6447308927,127.444411443
361-856,36.6447413688,127.457826116
361-855,36.6287403013,127.432920215
361-854,36.6088125181,127.489312686
361-859,36.6181836317,127.450161401
361-858,36.6302053423,127.416287381
626-833,35.501464982,128.999286045
626-832,35.3985875216,128.946573263
626-831,35.3985875216,128.946573263
626-830,35.3646838002,128.918779202
626-837,35.4140677066,129.178534585
626-836,35.4140677066,129.178534585
626-835,35.377700035,128.928519242
626-834,35.3543110628,128.949984553
580-830,35.6186355445,126.842500474
580-831,35.619523767,126.835421072
580-832,35.639571892,126.846235394
580-833,35.6279321694,126.816283771
555-280,34.8221672804,127.650460749
443-371,37.2704256011,127.040340287
443-370,37.2704256011,127.040340287
443-373,37.2564223914,127.043214056
443-372,37.2701743075,127.047375439
443-374,37.2650846883,127.048698042
156-788,37.5031997565,126.950632013
156-783,37.5031997565,126.950632013
156-782,37.5031997565,126.950632013
156-781,37.5031997565,126.950632013
156-787,37.4890409595,126.910210924
156-786,37.4890409595,126.910210924
156-785,37.4866426381,126.97197686
130-866,37.5862295238,127.047194601
429-800,37.3567018199,126.774174855
730-160,36.1390460607,128.345867258
130-867,37.5862295238,127.047194601
138-918,37.5181346385,127.1006922
440-709,37.305594219,127.009506602
440-708,37.3019100094,127.016539868
440-707,37.3022171982,126.991305931
440-706,37.3189026788,126.978199103
440-705,37.3028804286,126.969789313
138-919,37.5287840475,127.11682118
440-703,37.3005125505,127.006983972
550-120,34.7350481876,127.730158366
440-701,37.2906101891,127.021589735
130-864,37.5856404689,127.041904635
138-915,37.513360977,127.094319971
790-350,35.9879021422,129.397755572
130-865,37.5856404689,127.041904635
153-777,37.4768833934,126.891634751
153-776,37.4768833934,126.891634751
153-775,37.4768833934,126.891634751
153-774,37.4768833934,126.891634751
153-773,37.4768833934,126.891634751
153-772,37.4768833934,126.891634751
611-851,35.1947858713,129.080790271
153-770,37.4768833934,126.891634751
422-720,37.4706495216,126.80978992
130-862,37.5856404689,127.041904635
153-779,37.4768833934,126.891634751
153-778,37.4768833934,126.891634751
459-725,37.0678154845,127.054679634
459-724,37.0678154845,127.054679634
459-723,37.0678154845,127.054679634
459-721,37.0569272305,127.0848072
459-720,37.0678154845,127.054679634
566-700,35.6137492719,127.282573934
130-863,37.5856404689,127.041904635
350-801,36.5906064771,126.678204853
441-350,37.2418690484,126.969394427
645-310,35.1419612326,128.688182188
130-860,37.5856404689,127.041904635
706-023,35.8555135447,128.650488066
712-050,35.814639526,128.718766777
706-021,35.87295779,128.646939337
706-020,35.87295779,128.646939337
130-861,37.5856404689,127.041904635
461-872,37.4373049528,127.128706041
461-873,37.4373049528,127.128706041
461-870,37.4385763091,127.139027109
461-871,37.4385763091,127.139027109
678-807,35.5642488928,128.162318856
678-806,35.5642488928,128.162318856
678-805,35.5642488928,128.162318856
678-804,35.5642488928,128.162318856
678-803,35.6136657976,128.121584184
678-802,35.6394976858,128.153003361
678-801,35.5642488928,128.162318856
678-800,35.5660542653,128.157897599
600-064,35.1005365709,129.028200954
600-061,35.1018224603,129.030412773
600-062,35.1012433537,129.029477306
600-063,35.1005783634,129.028934479
230-902,37.0870645099,128.854751111
230-903,37.1174739928,128.746513586
230-900,37.1270263427,128.826917452
230-901,37.1500236967,128.841926712
755-812,36.8474234221,128.773627565
755-813,36.8162833369,128.780273223
755-810,36.8338039955,128.755186403
755-811,36.8278397268,128.731083384
130-714,37.5673778458,127.061299935
130-715,37.5977966987,127.065555433
130-716,37.5977966987,127.065555433
130-717,37.6033722414,127.065170759
130-710,37.590867784,127.055585383
130-711,37.5900103766,127.068641928
130-712,37.5862295238,127.047194601
130-713,37.5779617728,127.047778061
323-921,36.148219365,126.878201699
323-920,36.1910818845,126.89453636
323-923,36.214427971,126.884273611
323-922,36.1572421563,126.910793396
130-718,37.5677065094,127.066656445
130-719,37.5677065094,127.066656445
760-170,36.5618328534,128.725356113
461-250,37.454853176,127.160987925
361-440,36.6678225622,127.415111791
411-312,37.6845388084,126.777288598
411-313,37.6769465145,126.770364751
411-310,37.6871456349,126.768555621
411-311,37.6871456349,126.768555621
604-701,35.1029413755,128.976686246
690-022,33.4983411489,126.535163506
604-703,35.0779041889,128.972617818
604-702,35.0900741942,128.974366972
604-705,35.103397255,129.004019836
604-704,35.1029413755,128.976686246
604-706,35.1003377998,128.998067454
604-708,35.1003377998,128.998067454
690-029,33.4848632455,126.52447588
320-120,36.2077300644,127.085994535
573-140,35.9744320867,126.7046464
680-802,35.5363651836,129.31653317
680-803,35.5363651836,129.31653317
680-800,35.5363651836,129.31653317
680-801,35.5363651836,129.31653317
680-806,35.5509807716,129.260712906
680-807,35.5509807716,129.260712906
680-804,35.5363651836,129.31653317
680-805,35.5363651836,129.31653317
680-808,35.5509807716,129.260712906
680-809,35.5509807716,129.260712906
446-879,37.2777763126,127.073904994
446-878,37.2777763126,127.073904994
613-600,35.1455706521,129.113134801
519-803,35.0570563027,126.992085482
519-802,35.026871593,126.934502412
519-801,35.0413781409,126.964165701
519-800,35.0600084871,126.984600117
519-807,35.0520005486,126.983667721
